dataset,m,n,r,acc_Fro,acc_KL,acc_L1,time_Fro,time_KL,time_L1,it_Fro,it_KL,it_L1
classic.mat,5000,7094,4,32.11,58.26,65.28,0.05,8.32,7.92,40,100,100
sports.mat,5000,8580,7,34.78,64.43,41.26,0.13,11.46,19.62,17,100,99
reviews.mat,5000,4069,5,42.71,58.88,42.22,0.08,4.15,6.39,48,100,76
hitech.mat,5000,2301,6,41.98,46.76,36.94,0.05,2.19,2.83,31,100,100
ohscal.mat,5000,11162,10,34.27,49.33,45.34,0.23,17.69,35.72,100,100,92
la1.mat,5000,3204,6,31.8,69.82,37.39,0.05,3.06,4.23,13,100,100
k1b.mat,5000,2340,6,60.04,50.77,61.28,0.03,2.2,2.7,3,100,89
la12.mat,5000,6279,6,44.82,58.93,38.41,0.17,7.27,19.07,57,100,100
la2.mat,5000,3075,6,46.96,65.14,39.9,0.06,2.98,3.75,42,100,82
tr11.mat,5000,414,9,31.64,65.46,36.47,0.02,0.28,0.98,7,100,100
tr23.mat,5000,204,6,50.0,42.65,33.82,0.02,0.15,0.69,6,100,86
tr41.mat,5000,878,10,55.81,64.92,48.75,0.04,0.62,1.09,13,100,81
tr45.mat,5000,690,10,49.42,68.99,58.99,0.04,0.52,0.97,19,100,73
NG20.mat,5000,19949,20,24.51,56.06,34.67,0.61,33.03,43.49,100,100,100
ng3sim.mat,5000,2998,3,33.39,82.12,49.3,0.01,3.11,1.25,1,100,96
Averages,,,,41.27,60.17,45.53,0.09,12.09,14.64,25.33,100.0,96.6
,,,,,,,,,,,,
