dataset,m,n,r,acc,ari,nmi,time_s,iters
classic.mat,5000,7094,4,0.6656329292359741,0.4712717708976631,0.5557009151380955,75.32160259999728,69
sports.mat,5000,8580,7,0.4125874125874126,0.2557165469725817,0.4305110978919943,182.93738450000092,99
reviews.mat,5000,4069,5,0.42221676087490784,0.20222426367317659,0.30462077247723157,83.87533950000216,76
hitech.mat,5000,2301,6,0.3694046066927423,0.13839898463245515,0.1860126232225882,53.86931000000186,100
ohscal.mat,5000,11162,10,0.45341336678014693,0.2669414251134025,0.3736149148686267,176.02313479999793,92
la1.mat,5000,3204,6,0.3739076154806492,0.14959381812270037,0.24388210155276083,74.07465169999705,100
k1b.mat,5000,2340,6,0.6128205128205129,0.36843930139421305,0.591337530566937,52.76536780000242,89
la12.mat,5000,6279,6,0.38413760152890586,0.14625548143235084,0.2361938501512035,143.27213920000213,100
la2.mat,5000,3075,6,0.39902439024390246,0.15053484290498623,0.25968668363398634,73.45205569999962,82
tr11.mat,5000,414,9,0.3647342995169082,0.08964569871821326,0.28960641942477267,11.294999599998846,100
tr23.mat,5000,204,6,0.3382352941176471,0.05103480042429749,0.2226252208185338,6.626299300001847,86
tr41.mat,5000,878,10,0.4874715261958998,0.32880013952438897,0.4349763592141807,20.848923800000193,81
tr45.mat,5000,690,10,0.5898550724637681,0.36477447504373156,0.5001816360231722,16.69688589999714,73
NG20.mat,5000,19949,20,0.34668404431299815,0.15069381980653826,0.32176177897036246,266.157661199999,100
ng3sim.mat,5000,2998,3,0.49299533022014674,0.15919173348013957,0.14948419008743535,41.74763410000014,96
