dataset,m,n,r,acc,ari,nmi,time_s,iters
classic.mat,5000,7094,4,0.3281646461798703,0.00046927748316899677,0.00024939047474909344,52.920471700001144,100
sports.mat,5000,8580,7,0.22808857808857808,-0.0005107000573045124,0.0010952333739123329,90.8960289000006,100
reviews.mat,5000,4069,5,0.3440648808060949,-0.00019376937771443248,0.008359946359904342,44.08730810000088,100
hitech.mat,5000,2301,6,0.24119947848761408,0.001295104455363788,0.0038035103870162346,26.376243200000317,100
ohscal.mat,5000,11162,10,0.1155706862569432,0.0001234323690260856,0.0014223215644685178,98.22092200000043,100
la1.mat,5000,3204,6,0.2949438202247191,-0.0003345695205549781,0.0037647629397890166,26.75642280000102,40
k1b.mat,5000,2340,6,0.3696581196581197,0.0026977830997137507,0.003587071469073078,24.68437559999984,100
la12.mat,5000,6279,6,0.25322503583373146,0.00017558020749100604,0.0015126142924714477,71.46867439999914,100
la2.mat,5000,3075,6,0.2943089430894309,7.829930963486067e-05,0.005392483465798484,32.72103470000002,34
tr11.mat,5000,414,9,0.3333333333333333,0.001567311275654855,0.09224741330610096,9.35420410000006,100
tr23.mat,5000,204,6,0.4215686274509804,-0.021636905680841305,0.047880276046107666,5.049015200000213,46
tr41.mat,5000,878,10,0.2437357630979499,0.0010310789317343472,0.022255298538833443,15.652374600000257,100
tr45.mat,5000,690,10,0.2144927536231884,-0.012320959838896793,0.06290479846813808,14.351841199999399,46
NG20.mat,5000,19949,20,0.052684345079953884,5.671868327245234e-06,0.005975819909956512,189.17212909999944,100
ng3sim.mat,5000,2998,3,0.3352234823215477,8.479953384142874e-06,0.003952366946711814,22.213305899998886,34
