dataset,m,n,r,acc_Fro,acc_KL,acc_L1,time_Fro,time_KL,time_L1,it_Fro,it_KL,it_L1
classic.mat,5000,7094,4,32.11164364251481,58.26050183253454,32.858753876515365,0.035398006439208984,8.015469789505005,7.401477575302124,33,50,50
sports.mat,5000,8580,7,34.77855477855478,64.42890442890443,21.759906759906762,0.11753082275390625,9.471845388412476,10.326628684997559,13,50,50
reviews.mat,5000,4069,5,42.713197345785204,58.88424674367167,30.597198328827723,0.06548428535461426,3.6137704849243164,4.977492332458496,38,50,50
hitech.mat,5000,2301,6,41.98174706649283,46.762277270751845,27.11864406779661,0.03921151161193848,1.9184067249298096,2.5312628746032715,24,50,50
ohscal.mat,5000,11162,10,34.268052320372696,49.32807740548289,11.503314818132951,0.16211867332458496,11.241791486740112,10.190211534500122,50,50,50
la1.mat,5000,3204,6,31.803995006242197,69.81897627965043,21.910112359550563,0.03517484664916992,2.683789014816284,3.641228437423706,11,50,50
k1b.mat,5000,2340,6,60.04273504273504,50.76923076923077,40.17094017094017,0.022175073623657227,1.9083032608032227,2.514854669570923,3,50,50
la12.mat,5000,6279,6,44.81605351170568,58.9265806657111,21.595795508838986,0.0989692211151123,5.751506090164185,7.05340051651001,42,50,50
la2.mat,5000,3075,6,46.959349593495936,65.13821138211382,29.495934959349597,0.0542452335357666,2.6402101516723633,2.4791948795318604,35,50,37
tr11.mat,5000,414,9,31.642512077294686,65.45893719806763,33.33333333333333,0.01693248748779297,0.2643299102783203,0.8053197860717773,7,50,50
tr23.mat,5000,204,6,50.0,42.64705882352941,25.49019607843137,0.008539676666259766,0.14963388442993164,0.5801892280578613,5,50,50
tr41.mat,5000,878,10,55.80865603644647,64.92027334851936,23.462414578587698,0.026753902435302734,0.5892939567565918,1.5718553066253662,11,50,50
tr45.mat,5000,690,10,49.42028985507246,68.98550724637681,21.15942028985507,0.032892465591430664,0.4907667636871338,1.489760398864746,16,50,50
NG20.mat,5000,19949,20,24.51250689257607,56.06296054940098,5.328587899142814,0.4437272548675537,19.40321135520935,18.172618865966797,50,50,50
ng3sim.mat,5000,2998,3,33.388925950633755,82.12141427618413,33.52234823215477,0.011918783187866211,2.3440446853637695,1.428704023361206,2,50,29
