dataset,m,n,r,acc_Fro,acc_KL,acc_L1,time_Fro,time_KL,time_L1,it_Fro,it_KL,it_L1
classic.mat,5000,7094,4,31.92839018889202,58.26050183253454,42.514801240484914,1.3509654998779297,6.3653833866119385,52.72917985916138,12,50,48
sports.mat,5000,8580,7,38.04195804195804,64.42890442890443,34.463869463869464,1.879547119140625,7.302704095840454,157.62075114250183,24,50,50
reviews.mat,5000,4069,5,41.80388301794052,58.88424674367167,51.290243303022855,0.7644939422607422,3.487988233566284,62.597233295440674,12,50,50
hitech.mat,5000,2301,6,26.336375488917863,46.762277270751845,24.2503259452412,0.43434882164001465,1.8286912441253662,25.73903751373291,8,50,42
ohscal.mat,5000,11162,10,35.35208743952697,49.32807740548289,15.310876187063249,4.963982105255127,10.789814472198486,114.59942722320557,37,50,50
la1.mat,5000,3204,6,51.02996254681648,69.81897627965043,30.118601747815234,0.5285372734069824,2.5630109310150146,48.887702226638794,10,50,45
k1b.mat,5000,2340,6,74.78632478632478,50.76923076923077,50.85470085470085,0.5111405849456787,1.776883602142334,34.874507188797,50,50,44
la12.mat,5000,6279,6,44.81605351170568,58.9265806657111,29.797738493390668,1.9240069389343262,5.62805962562561,109.27108073234558,42,50,50
la2.mat,5000,3075,6,50.63414634146341,65.13821138211382,27.57723577235772,0.6770646572113037,2.7236430644989014,47.478923082351685,17,50,44
tr11.mat,5000,414,9,49.033816425120776,65.45893719806763,40.82125603864734,0.11645698547363281,0.2717413902282715,8.259286165237427,5,50,50
tr23.mat,5000,204,6,43.627450980392155,42.64705882352941,29.901960784313726,0.05673050880432129,0.14603972434997559,4.057676315307617,8,50,50
tr41.mat,5000,878,10,38.724373576309794,64.92027334851936,36.90205011389522,0.24087023735046387,0.6174452304840088,19.72663116455078,9,50,47
tr45.mat,5000,690,10,44.927536231884055,68.98550724637681,30.144927536231886,0.2040398120880127,0.4627218246459961,15.88971495628357,20,50,46
NG20.mat,5000,19949,20,24.51250689257607,56.06296054940098,9.604491453205673,12.070569515228271,19.998055458068848,500.9720129966736,50,50,43
ng3sim.mat,5000,2998,3,34.489659773182126,82.12141427618413,34.62308205470313,0.3861510753631592,2.457026243209839,34.199726819992065,9,50,42
