dataset,m,n,r,acc_Fro,acc_KL,acc_L1,time_Fro,time_KL,time_L1,it_Fro,it_KL,it_L1
classic.mat,5000,7094,4,32.11164364251481,58.26050183253454,65.28051874823795,0.03395795822143555,17.937697649002075,13.84758996963501,33,100,79
sports.mat,5000,8580,7,34.77855477855478,64.42890442890443,44.42890442890443,0.10230517387390137,20.92094850540161,27.039987087249756,13,100,100
reviews.mat,5000,4069,5,42.713197345785204,58.88424674367167,42.90980584910297,0.07269978523254395,10.18317461013794,14.73483157157898,38,100,100
hitech.mat,5000,2301,6,41.98174706649283,46.762277270751845,38.80921338548457,0.038750648498535156,5.464259386062622,7.426483392715454,24,100,78
ohscal.mat,5000,11162,10,39.05214119333453,49.32807740548289,45.42196738935675,0.19714713096618652,28.476600646972656,29.658134698867798,78,100,100
la1.mat,5000,3204,6,31.803995006242197,69.81897627965043,40.01248439450686,0.03504037857055664,7.379789113998413,11.524831056594849,11,100,100
k1b.mat,5000,2340,6,60.04273504273504,50.76923076923077,50.427350427350426,0.017781734466552734,5.560436010360718,8.204596519470215,3,100,100
la12.mat,5000,6279,6,44.81605351170568,58.9265806657111,46.77496416626851,0.10629916191101074,15.682036638259888,20.596473693847656,42,100,100
la2.mat,5000,3075,6,46.959349593495936,65.13821138211382,40.71544715447155,0.0595698356628418,7.369858980178833,11.163906812667847,35,100,100
tr11.mat,5000,414,9,31.642512077294686,65.45893719806763,45.893719806763286,0.020585298538208008,0.8140430450439453,2.5346076488494873,7,100,100
tr23.mat,5000,204,6,50.0,42.64705882352941,47.549019607843135,0.012512683868408203,0.4051547050476074,1.454071283340454,5,100,99
tr41.mat,5000,878,10,55.80865603644647,64.92027334851936,52.277904328018224,0.023938655853271484,1.3447320461273193,4.501911640167236,11,100,100
tr45.mat,5000,690,10,49.42028985507246,68.98550724637681,38.405797101449274,0.02809286117553711,0.721489429473877,4.225643157958984,16,100,100
NG20.mat,5000,19949,20,24.53757080555416,56.06296054940098,34.66840443129981,0.5408058166503906,52.134196043014526,53.94882845878601,62,100,100
ng3sim.mat,5000,2998,3,33.388925950633755,82.12141427618413,49.29953302201467,0.011518716812133789,6.945621490478516,8.724478006362915,2,100,93
