dataset,m,n,r,acc,ari,nmi,time_s,iters
classic.mat,5000,7094,4,0.6144629264166902,0.33860306268943874,0.4984055062063771,30.394874499999787,32
sports.mat,5000,8580,7,0.4754079254079254,0.261014707123561,0.41350386146435447,69.90713680000044,59
reviews.mat,5000,4069,5,0.44998771196854265,0.2019089833737559,0.2973768731269743,29.21237309999924,46
hitech.mat,5000,2301,6,0.379400260756193,0.14634159546717596,0.18672011659807652,20.49174419999872,43
ohscal.mat,5000,11162,10,0.43038881920802724,0.24827519091459915,0.35128785442036464,64.95434209999985,49
la1.mat,5000,3204,6,0.40886392009987516,0.15059720022475132,0.2697301620242788,30.236357100000532,55
k1b.mat,5000,2340,6,0.5769230769230769,0.333533903318067,0.537919307605989,18.147136299998238,35
la12.mat,5000,6279,6,0.4218824653607262,0.20768452283652297,0.31245544049264284,41.35835450000013,50
la2.mat,5000,3075,6,0.39121951219512197,0.17225316070296293,0.2698289781508458,24.17282080000041,48
tr11.mat,5000,414,9,0.4468599033816425,0.24743154183533478,0.45954101758288773,5.070491200000106,35
tr23.mat,5000,204,6,0.35784313725490197,0.10749493208974446,0.22471773922220128,2.8467254000006506,32
tr41.mat,5000,878,10,0.4624145785876993,0.30560984884585357,0.4280808379317364,7.7357756000001245,38
tr45.mat,5000,690,10,0.5565217391304348,0.3458997631462014,0.47584614307658546,7.340442400000029,37
NG20.mat,5000,19949,20,0.2904907514161111,0.09970730484297444,0.27196937497373846,151.20835599999918,49
ng3sim.mat,5000,2998,3,0.43862575050033353,0.06857508891764752,0.06560432824697603,18.597184300000663,39
